Index,Date,MaxTemp
1070,2020-12-06,51
1071,2020-12-07,56
1072,2020-12-08,70
1073,2020-12-09,55
1074,2020-12-10,51
1075,2020-12-11,41
1076,2020-12-12,44
1077,2020-12-13,39
1078,2020-12-14,40
1079,2020-12-15,49
1080,2020-12-16,47
1081,2020-12-17,37
1082,2020-12-18,51
1083,2020-12-19,53
1084,2020-12-20,60
1085,2020-12-21,55
1086,2020-12-22,49
1087,2020-12-23,54
1088,2020-12-24,51
1089,2020-12-25,45
1090,2020-12-26,35
1091,2020-12-27,43
1092,2020-12-28,36
1093,2020-12-29,50
1094,2020-12-30,47
1095,2020-12-31,43
1096,2021-01-01,52
1097,2021-01-02,39
1098,2021-01-03,45
1099,2021-01-04,41
1100,2021-01-05,47
1101,2021-01-06,47
1102,2021-01-07,52
1103,2021-01-08,45
1104,2021-01-09,55
1105,2021-01-10,49
1106,2021-01-11,55
1107,2021-01-12,48
1108,2021-01-13,51
1109,2021-01-14,67
1110,2021-01-15,61
1111,2021-01-16,64
1112,2021-01-17,67
1113,2021-01-18,55
1114,2021-01-19,42
1115,2021-01-20,52
1116,2021-01-21,48
1117,2021-01-22,38
1118,2021-01-23,41
1119,2021-01-24,33
1120,2021-01-25,27
1121,2021-01-26,29
1122,2021-01-27,31
1123,2021-01-28,31
1124,2021-01-29,30
1125,2021-01-30,37
1126,2021-01-31,44
1127,2021-02-01,45
1128,2021-02-02,41
1129,2021-02-03,31
1130,2021-02-04,51
1131,2021-02-05,56
1132,2021-02-06,61
1133,2021-02-07,58
1134,2021-02-08,50
1135,2021-02-09,42
1136,2021-02-10,49
1137,2021-02-11,43
1138,2021-02-12,42
1139,2021-02-13,38
1140,2021-02-14,38
1141,2021-02-15,39
1142,2021-02-16,41
1143,2021-02-17,39
1144,2021-02-18,42
1145,2021-02-19,39
1146,2021-02-20,37
1147,2021-02-21,52
1148,2021-02-22,58
1149,2021-02-23,57
1150,2021-02-24,50
1151,2021-02-25,51
1152,2021-02-26,46
1153,2021-02-27,43
1154,2021-02-28,52
1155,2021-03-01,47
1156,2021-03-02,52
1157,2021-03-03,53
1158,2021-03-04,49
1159,2021-03-05,51
1160,2021-03-06,41
1161,2021-03-07,49
1162,2021-03-08,35
1163,2021-03-09,33
1164,2021-03-10,28
1165,2021-03-11,39
1166,2021-03-12,47
1167,2021-03-13,48
1168,2021-03-14,43
1169,2021-03-15,30
1170,2021-03-16,37
1171,2021-03-17,43
1172,2021-03-18,42
1173,2021-03-19,36
1174,2021-03-20,35
1175,2021-03-21,49
1176,2021-03-22,42
1177,2021-03-23,40
1178,2021-03-24,49
1179,2021-03-25,40
1180,2021-03-26,54
1181,2021-03-27,59
1182,2021-03-28,60
1183,2021-03-29,56
1184,2021-03-30,57
1185,2021-03-31,64
1186,2021-04-01,63
1187,2021-04-02,64
1188,2021-04-03,63
1189,2021-04-04,59
1190,2021-04-05,54
1191,2021-04-06,59
1192,2021-04-07,56
1193,2021-04-08,56
1194,2021-04-09,60
1195,2021-04-10,61
1196,2021-04-11,63
1197,2021-04-12,63
1198,2021-04-13,51
1199,2021-04-14,49
1200,2021-04-15,53
1201,2021-04-16,60
1202,2021-04-17,60
1203,2021-04-18,68
1204,2021-04-19,66
1205,2021-04-20,60
1206,2021-04-21,59
1207,2021-04-22,59
1208,2021-04-23,59
1209,2021-04-24,46
1210,2021-04-25,40
1211,2021-04-26,40
1212,2021-04-27,56
1213,2021-04-28,67
1214,2021-04-29,71
1215,2021-04-30,72
1216,2021-05-01,65
1217,2021-05-02,64
1218,2021-05-03,69
1219,2021-05-04,69
1220,2021-05-05,73
1221,2021-05-06,68
1222,2021-05-07,61
1223,2021-05-08,69
1224,2021-05-09,64
1225,2021-05-10,72
1226,2021-05-11,70
1227,2021-05-12,72
1228,2021-05-13,75
1229,2021-05-14,73
1230,2021-05-15,62
1231,2021-05-16,63
1232,2021-05-17,65
1233,2021-05-18,65
1234,2021-05-19,56
1235,2021-05-20,41
1236,2021-05-21,46
1237,2021-05-22,48
1238,2021-05-23,57
1239,2021-05-24,64
1240,2021-05-25,61
1241,2021-05-26,68
